bench,depth,contexts,speedup_not_grouped_over_grouped,cell,status
com_fasterxml_jackson,1,2,1.1117003918440826,1.1x,exact
com_fasterxml_jackson,1,3,1.3826160786407702,1.4x,exact
com_fasterxml_jackson,1,5,1.5650155979650204,1.6x,exact
com_fasterxml_jackson,1,10,2.293065844316442,2.3x,exact
com_fasterxml_jackson,2,1,1.393826430124849,1.4x,exact
com_fasterxml_jackson,2,2,1.0048689241941404,1x,exact
com_fasterxml_jackson,2,3,1.2038025580111693,1.2x,exact
com_fasterxml_jackson,2,5,1.4511226288778272,1.5x,exact
com_fasterxml_jackson,2,10,2.067871647511491,2.1x,exact
com_fasterxml_jackson,3,1,1.1149247445916535,1.1x,exact
com_fasterxml_jackson,3,2,1.0474495788047913,1x,exact
com_fasterxml_jackson,3,3,1.1446595423121826,1.1x,exact
com_fasterxml_jackson,3,5,1.2977602101223502,1.3x,exact
com_fasterxml_jackson,3,10,,OOM,oom
com_fasterxml_jackson,4,1,0.9290916862880843,0.93x,exact
com_fasterxml_jackson,4,2,0.9797992287376882,0.98x,exact
com_fasterxml_jackson,4,3,1.0766677249947256,1.1x,exact
com_fasterxml_jackson,4,5,,OOM,oom
com_fasterxml_jackson,4,10,,OOM,oom
org_apache_jackrabbit,1,1,1.2375026146200485,1.2x,exact
org_apache_jackrabbit,1,2,1.294914194872618,1.3x,exact
org_apache_jackrabbit,1,3,1.474374782703803,1.5x,exact
org_apache_jackrabbit,1,5,1.5295364622942653,1.5x,exact
org_apache_jackrabbit,1,10,1.6800446910224576,1.7x,exact
org_apache_jackrabbit,2,1,1.3657911262528193,1.4x,exact
org_apache_jackrabbit,2,2,1.193145883687505,1.2x,exact
org_apache_jackrabbit,2,3,1.1939174110799013,1.2x,exact
org_apache_jackrabbit,2,5,1.028107224054902,1x,exact
org_apache_jackrabbit,2,10,,-,one_oom
org_apache_jackrabbit,3,1,1.084498519698521,1.1x,exact
org_apache_jackrabbit,3,2,0.9341466770587146,0.93x,exact
org_apache_jackrabbit,3,3,0.8348106011957033,0.83x,exact
org_apache_jackrabbit,3,5,,OOT,oot
org_apache_jackrabbit,3,10,,OOM,oom
org_apache_jackrabbit,4,1,0.9747526563760743,0.97x,exact
org_apache_jackrabbit,4,2,0.7801761741771395,0.78x,exact
org_apache_jackrabbit,4,3,,-,one_oom
org_apache_jackrabbit,4,5,,OOM,oom
org_apache_jackrabbit,4,10,,OOM,oom
