bench,depth,contexts,ram_kb_last2_mean,cell
com_fasterxml_jackson,4,1,1127824.0,1.1GiB
com_fasterxml_jackson,4,2,3383736.0,3.2GiB
com_fasterxml_jackson,4,3,11509120.0,11GiB
com_fasterxml_jackson,4,5,,OOM
com_fasterxml_jackson,4,10,,OOM
org_apache_jackrabbit,1,1,1462708.0,1.4GiB
org_apache_jackrabbit,1,2,1564580.0,1.5GiB
org_apache_jackrabbit,1,3,1690352.0,1.6GiB
org_apache_jackrabbit,1,5,2084760.0,2.0GiB
org_apache_jackrabbit,1,10,2786980.0,2.7GiB
org_apache_jackrabbit,2,1,1613614.0,1.5GiB
org_apache_jackrabbit,2,2,2167752.0,2.1GiB
org_apache_jackrabbit,2,3,3081608.0,2.9GiB
org_apache_jackrabbit,2,5,5854426.0,5.6GiB
org_apache_jackrabbit,2,10,,OOT
org_apache_jackrabbit,3,1,1887084.0,1.8GiB
org_apache_jackrabbit,3,2,3371936.0,3.2GiB
org_apache_jackrabbit,3,3,7064062.0,6.7GiB
org_apache_jackrabbit,3,5,,OOT
org_apache_jackrabbit,3,10,,OOM
org_apache_jackrabbit,4,1,2063334.0,2.0GiB
org_apache_jackrabbit,4,2,5870784.0,5.6GiB
org_apache_jackrabbit,4,3,,OOT
org_apache_jackrabbit,4,5,,OOM
org_apache_jackrabbit,4,10,,OOM
