bench,depth,contexts,total_contexts,time_sec,time_cell,ram_kb_last2_mean,memory_cell
reactor,2,10,110,3.193483511606852,3.2s,476420.0,465MiB
reactor,4,3,120,3.706787109375,3.7s,445712.0,435MiB
reactor,3,5,155,4.524299065272014,4.5s,542504.0,530MiB
reactor,4,5,780,15.37272079785665,15.4s,1555558.0,1.5GiB
reactor,3,10,1110,24.52934916814168,24.5s,2190256.0,2.1GiB
reactor,4,10,11110,263.3164490063985,263s,18477672.0,18GiB
org_jivesoftware_openfire,1,1,1,2.128144105275472,2.1s,421220.0,411MiB
org_jivesoftware_openfire,1,2,2,2.7040462493896484,2.7s,435030.0,425MiB
org_jivesoftware_openfire,2,1,2,2.350499232610067,2.4s,426326.0,416MiB
org_jivesoftware_openfire,1,3,3,2.7095277309417725,2.7s,451426.0,441MiB
org_jivesoftware_openfire,3,1,3,2.5356712341308594,2.5s,421456.0,412MiB
org_jivesoftware_openfire,4,1,4,2.7810134887695312,2.8s,430402.0,420MiB
org_jivesoftware_openfire,1,5,5,3.136895259221395,3.1s,481516.0,470MiB
org_jivesoftware_openfire,2,2,6,3.932478427886963,3.9s,487524.0,476MiB
org_jivesoftware_openfire,1,10,10,4.28888479868571,4.3s,585462.0,572MiB
org_jivesoftware_openfire,2,3,12,5.393483241399129,5.4s,593024.0,579MiB
org_jivesoftware_openfire,3,2,14,4.836891333262126,4.8s,571810.0,558MiB
org_jivesoftware_openfire,2,5,30,8.771440505981445,8.8s,901868.0,881MiB
org_jivesoftware_openfire,4,2,30,7.392937660217285,7.4s,748826.0,731MiB
org_jivesoftware_openfire,3,3,39,8.794169028600058,8.8s,943142.0,921MiB
org_jivesoftware_openfire,2,10,110,22.0190372467041,22.0s,2208110.0,2.1GiB
org_jivesoftware_openfire,4,3,120,21.013846556345623,21.0s,1936034.0,1.8GiB
org_jivesoftware_openfire,3,5,155,28.144962628682453,28.1s,2671894.0,2.5GiB
org_jivesoftware_openfire,4,5,780,134.46840397516885,134s,11938344.0,11GiB
org_jivesoftware_openfire,3,10,1110,210.67816853523254,211s,18890590.0,18GiB
org_jivesoftware_openfire,4,10,11110,,OOM,,OOM
com_fasterxml_jackson,1,1,1,10.340377251307169,10.3s,932770.0,911MiB
com_fasterxml_jackson,1,2,2,14.94341508547465,14.9s,1067318.0,1.0GiB
com_fasterxml_jackson,2,1,2,10.798979759216309,10.8s,1007772.0,984MiB
com_fasterxml_jackson,1,3,3,15.275601228078207,15.3s,1078606.0,1.0GiB
com_fasterxml_jackson,3,1,3,12.781184593836466,12.8s,1105694.0,1.1GiB
com_fasterxml_jackson,4,1,4,14.07540742556254,14.1s,1159898.0,1.1GiB
com_fasterxml_jackson,1,5,5,18.759392023086548,18.8s,1293640.0,1.2GiB
com_fasterxml_jackson,2,2,6,26.564522981643677,26.6s,1426462.0,1.4GiB
com_fasterxml_jackson,1,10,10,27.891533772150677,27.9s,1844756.0,1.8GiB
com_fasterxml_jackson,2,3,12,37.456930001576744,37.5s,1930168.0,1.8GiB
com_fasterxml_jackson,3,2,14,34.87824614842733,34.9s,2118168.0,2.0GiB
com_fasterxml_jackson,2,5,30,72.35634390513103,72.4s,3537140.0,3.4GiB
com_fasterxml_jackson,4,2,30,62.468885024388634,62.5s,3312894.0,3.2GiB
com_fasterxml_jackson,3,3,39,80.45417555173238,80.5s,4265252.0,4.1GiB
com_fasterxml_jackson,2,10,110,226.88971757888794,227s,11407322.0,11GiB
com_fasterxml_jackson,4,3,120,239.47131737073263,239s,11353588.0,11GiB
com_fasterxml_jackson,3,5,155,321.34228920936584,321s,15290074.0,15GiB
com_fasterxml_jackson,4,5,780,,OOM,,OOM
com_fasterxml_jackson,3,10,1110,,OOM,,OOM
com_fasterxml_jackson,4,10,11110,,OOM,,OOM
org_apache_jackrabbit,1,1,1,24.71311601003011,24.7s,1506490.0,1.4GiB
org_apache_jackrabbit,1,2,2,32.91976674397787,32.9s,1882546.0,1.8GiB
org_apache_jackrabbit,2,1,2,27.7775821685791,27.8s,1632096.0,1.6GiB
org_apache_jackrabbit,1,3,3,35.63769133885702,35.6s,2193366.0,2.1GiB
org_apache_jackrabbit,3,1,3,31.12226661046346,31.1s,1946122.0,1.9GiB
org_apache_jackrabbit,4,1,4,32.43819713592529,32.4s,2090310.0,2.0GiB
org_apache_jackrabbit,1,5,5,48.252269426981606,48.3s,3157790.0,3.0GiB
org_apache_jackrabbit,2,2,6,62.03367360432943,62.0s,3137746.0,3.0GiB
org_apache_jackrabbit,1,10,10,86.9380829334259,86.9s,5295032.0,5.0GiB
org_apache_jackrabbit,2,3,12,107.04607621828715,107s,5423788.0,5.2GiB
org_apache_jackrabbit,3,2,14,108.05424483617146,108s,5465406.0,5.2GiB
org_apache_jackrabbit,2,5,30,290.85296630859375,291s,14626500.0,14GiB
org_apache_jackrabbit,4,2,30,219.13528935114542,219s,10093118.0,9.6GiB
org_apache_jackrabbit,3,3,39,338.27257863680524,338s,15774520.0,15GiB
org_apache_jackrabbit,2,10,110,,OOM,,OOM
org_apache_jackrabbit,4,3,120,,OOM,,OOM
org_apache_jackrabbit,3,5,155,,OOT,,OOT
org_apache_jackrabbit,4,5,780,,OOM,,OOM
org_apache_jackrabbit,3,10,1110,,OOM,,OOM
org_apache_jackrabbit,4,10,11110,,OOM,,OOM
