bench,depth,contexts,time_sec,cell
com_fasterxml_jackson,4,2,62.468885024388634,62.5s
com_fasterxml_jackson,4,3,239.47131737073263,239s
com_fasterxml_jackson,4,5,,OOM
com_fasterxml_jackson,4,10,,OOM
org_apache_jackrabbit,1,1,24.71311601003011,24.7s
org_apache_jackrabbit,1,2,32.91976674397787,32.9s
org_apache_jackrabbit,1,3,35.63769133885702,35.6s
org_apache_jackrabbit,1,5,48.252269426981606,48.3s
org_apache_jackrabbit,1,10,86.9380829334259,86.9s
org_apache_jackrabbit,2,1,27.7775821685791,27.8s
org_apache_jackrabbit,2,2,62.03367360432943,62.0s
org_apache_jackrabbit,2,3,107.04607621828715,107s
org_apache_jackrabbit,2,5,290.85296630859375,291s
org_apache_jackrabbit,2,10,,OOM
org_apache_jackrabbit,3,1,31.12226661046346,31.1s
org_apache_jackrabbit,3,2,108.05424483617146,108s
org_apache_jackrabbit,3,3,338.27257863680524,338s
org_apache_jackrabbit,3,5,,OOT
org_apache_jackrabbit,3,10,,OOM
org_apache_jackrabbit,4,1,32.43819713592529,32.4s
org_apache_jackrabbit,4,2,219.13528935114542,219s
org_apache_jackrabbit,4,3,,OOM
org_apache_jackrabbit,4,5,,OOM
org_apache_jackrabbit,4,10,,OOM
