bench,depth,contexts,time_sec,cell
com_fasterxml_jackson,4,2,71.46638743082683,71.5s
com_fasterxml_jackson,4,3,228.81509311993918,229s
com_fasterxml_jackson,4,5,,OOT
com_fasterxml_jackson,4,10,,OOM
org_apache_jackrabbit,1,1,29.89402945836385,29.9s
org_apache_jackrabbit,1,2,36.92769440015157,36.9s
org_apache_jackrabbit,1,3,41.1176442305247,41.1s
org_apache_jackrabbit,1,5,53.47594936688741,53.5s
org_apache_jackrabbit,1,10,74.98895907402039,75.0s
org_apache_jackrabbit,2,1,35.534977197647095,35.5s
org_apache_jackrabbit,2,2,62.16177296638489,62.2s
org_apache_jackrabbit,2,3,89.92876156171162,89.9s
org_apache_jackrabbit,2,5,167.43122045199075,167s
org_apache_jackrabbit,2,10,718.8531509240469,719s
org_apache_jackrabbit,3,1,38.25765331586202,38.3s
org_apache_jackrabbit,3,2,100.85716152191162,101s
org_apache_jackrabbit,3,3,215.11655529340112,215s
org_apache_jackrabbit,3,5,1023.3297200202942,1023s
org_apache_jackrabbit,3,10,,OOM
org_apache_jackrabbit,4,1,41.38980054855347,41.4s
org_apache_jackrabbit,4,2,175.88285120328268,176s
org_apache_jackrabbit,4,3,684.1327474912008,684s
org_apache_jackrabbit,4,5,,OOM
org_apache_jackrabbit,4,10,,OOM
