bench,depth,contexts,total_contexts,time_sec,time_cell,ram_kb_last2_mean,memory_cell
reactor,2,10,110,4.19338043530782,4.2s,514636.0,503MiB
reactor,4,3,120,3.679209073384603,3.7s,464658.0,454MiB
reactor,3,5,155,4.262494405110677,4.3s,576380.0,563MiB
reactor,4,5,780,17.23855463663737,17.2s,1541414.0,1.5GiB
reactor,3,10,1110,22.692092498143513,22.7s,2175164.0,2.1GiB
reactor,4,10,11110,184.87483739852905,185s,18370488.0,18GiB
org_jivesoftware_openfire,1,1,1,1.8367084662119548,1.8s,415322.0,406MiB
org_jivesoftware_openfire,1,2,2,2.3127384980519614,2.3s,434880.0,425MiB
org_jivesoftware_openfire,2,1,2,2.132014592488607,2.1s,412662.0,403MiB
org_jivesoftware_openfire,1,3,3,2.57920511563619,2.6s,467236.0,456MiB
org_jivesoftware_openfire,3,1,3,2.272512435913086,2.3s,422836.0,413MiB
org_jivesoftware_openfire,4,1,4,2.423237164815267,2.4s,415860.0,406MiB
org_jivesoftware_openfire,1,5,5,3.601053237915039,3.6s,527082.0,515MiB
org_jivesoftware_openfire,2,2,6,3.2834057807922363,3.3s,485870.0,474MiB
org_jivesoftware_openfire,1,10,10,5.995300928751628,6s,666050.0,650MiB
org_jivesoftware_openfire,2,3,12,5.419605811436971,5.4s,610134.0,596MiB
org_jivesoftware_openfire,3,2,14,5.60512129465739,5.6s,583774.0,570MiB
org_jivesoftware_openfire,2,5,30,9.501400391260782,9.5s,998580.0,975MiB
org_jivesoftware_openfire,4,2,30,7.822555303573608,7.8s,774182.0,756MiB
org_jivesoftware_openfire,3,3,39,10.33701761563619,10.3s,1054766.0,1.0GiB
org_jivesoftware_openfire,2,10,110,29.32604217529297,29.3s,2821496.0,2.7GiB
org_jivesoftware_openfire,4,3,120,25.913970788319904,25.9s,2355720.0,2.2GiB
org_jivesoftware_openfire,3,5,155,30.517722288767498,30.5s,2609110.0,2.5GiB
org_jivesoftware_openfire,4,5,780,121.15764617919922,121s,10934392.0,10GiB
org_jivesoftware_openfire,3,10,1110,172.18856120109558,172s,17269626.0,16GiB
org_jivesoftware_openfire,4,10,11110,,OOM,,OOM
com_fasterxml_jackson,1,1,1,13.807321627934774,13.8s,910054.0,889MiB
com_fasterxml_jackson,1,2,2,16.093344529469807,16.1s,1043512.0,1019MiB
com_fasterxml_jackson,2,1,2,16.35948371887207,16.4s,1016524.0,993MiB
com_fasterxml_jackson,1,3,3,18.877879699071247,18.9s,1078626.0,1.0GiB
com_fasterxml_jackson,3,1,3,18.487374146779377,18.5s,1095402.0,1.0GiB
com_fasterxml_jackson,4,1,4,20.106764793395996,20.1s,1126694.0,1.1GiB
