bench,depth,contexts,ram_kb_last2_mean,cell
com_fasterxml_jackson,3,10,,OOT
com_fasterxml_jackson,4,1,1137210.0,1.1GiB
com_fasterxml_jackson,4,2,3367370.0,3.2GiB
com_fasterxml_jackson,4,3,11460188.0,11GiB
com_fasterxml_jackson,4,5,,OOT
com_fasterxml_jackson,4,10,,OOT
org_apache_jackrabbit,1,1,1798692.0,1.7GiB
org_apache_jackrabbit,1,2,1763172.0,1.7GiB
org_apache_jackrabbit,1,3,1895800.0,1.8GiB
org_apache_jackrabbit,1,5,2333566.0,2.2GiB
org_apache_jackrabbit,1,10,3009162.0,2.9GiB
org_apache_jackrabbit,2,1,1929058.0,1.8GiB
org_apache_jackrabbit,2,2,2362908.0,2.3GiB
org_apache_jackrabbit,2,3,3264430.0,3.1GiB
org_apache_jackrabbit,2,5,6121864.0,5.8GiB
org_apache_jackrabbit,2,10,18625404.0,18GiB
org_apache_jackrabbit,3,1,2498616.0,2.4GiB
org_apache_jackrabbit,3,2,3747724.0,3.6GiB
org_apache_jackrabbit,3,3,7252522.0,6.9GiB
org_apache_jackrabbit,3,5,,OOT
org_apache_jackrabbit,3,10,,OOT
org_apache_jackrabbit,4,1,2626518.0,2.5GiB
org_apache_jackrabbit,4,2,6274058.0,6.0GiB
org_apache_jackrabbit,4,3,19452800.0,19GiB
org_apache_jackrabbit,4,5,,OOT
org_apache_jackrabbit,4,10,,OOT
