bench,depth,contexts,total_contexts,fields,context_field_ratio,speedup_not_grouped_over_grouped,bound,grouped_status,not_grouped_status
basic,2,1,2,15,0.13333333333333333,0.799129365585205,exact,OK,OK
basic,1,2,2,15,0.13333333333333333,1.1180702709962391,exact,OK,OK
org_jivesoftware_openfire,4,5,780,5270,0.14800759013282733,3.970387489537663,exact,OK,OK
generalJava,2,1,2,11,0.18181818181818182,0.8042916317320808,exact,OK,OK
generalJava,1,2,2,11,0.18181818181818182,1.1222695612488756,exact,OK,OK
collections,2,1,2,10,0.2,0.8003235263741159,exact,OK,OK
basic,3,1,3,15,0.2,0.8072098951765587,exact,OK,OK
collections,1,2,2,10,0.2,1.1166551319044422,exact,OK,OK
basic,1,3,3,15,0.2,1.5288779383332887,exact,OK,OK
cornerCases,2,1,2,9,0.2222222222222222,0.8078309750413434,exact,OK,OK
cornerCases,1,2,2,9,0.2222222222222222,1.1314648381912622,exact,OK,OK
reactor,2,10,110,414,0.26570048309178745,7.363096197764816,exact,OK,OK
basic,4,1,4,15,0.26666666666666666,0.8017002521979831,exact,OK,OK
generalJava,3,1,3,11,0.2727272727272727,0.8172118363737414,exact,OK,OK
generalJava,1,3,3,11,0.2727272727272727,1.645992193417505,exact,OK,OK
reactor,4,3,120,414,0.2898550724637681,5.321120301031875,exact,OK,OK
collections,3,1,3,10,0.3,0.8097373248914076,exact,OK,OK
collections,1,3,3,10,0.3,1.653438008796785,exact,OK,OK
cornerCases,3,1,3,9,0.3333333333333333,0.8058692220186707,exact,OK,OK
cornerCases,1,3,3,9,0.3333333333333333,1.5211596017173428,exact,OK,OK
basic,1,5,5,15,0.3333333333333333,3.058026290888446,exact,OK,OK
generalJava,4,1,4,11,0.36363636363636365,0.8166126648420494,exact,OK,OK
reactor,3,5,155,414,0.3743961352657005,7.753765051480209,exact,OK,OK
collections,4,1,4,10,0.4,0.8076377658090964,exact,OK,OK
basic,2,2,6,15,0.4,1.6147090606966763,exact,OK,OK
cornerCases,4,1,4,9,0.4444444444444444,0.7949024137617893,exact,OK,OK
generalJava,1,5,5,11,0.45454545454545453,3.1037123598210536,exact,OK,OK
collections,1,5,5,10,0.5,3.312018646554999,exact,OK,OK
generalJava,2,2,6,11,0.5454545454545454,1.6380897992360244,exact,OK,OK
cornerCases,1,5,5,9,0.5555555555555556,2.8943167646320993,exact,OK,OK
collections,2,2,6,10,0.6,1.6246076493838648,exact,OK,OK
cornerCases,2,2,6,9,0.6666666666666666,1.6265824550540924,exact,OK,OK
basic,1,10,10,15,0.6666666666666666,6.924244820123344,exact,OK,OK
basic,2,3,12,15,0.8,2.9062982215996316,exact,OK,OK
generalJava,1,10,10,11,0.9090909090909091,6.971787182431635,exact,OK,OK
basic,3,2,14,15,0.9333333333333333,2.361051312606291,exact,OK,OK
collections,1,10,10,10,1.0,7.667599411303905,exact,OK,OK
generalJava,2,3,12,11,1.0909090909090908,3.1054637016344486,exact,OK,OK
cornerCases,1,10,10,9,1.1111111111111112,6.737039315116212,exact,OK,OK
collections,2,3,12,10,1.2,3.1027361317920232,exact,OK,OK
generalJava,3,2,14,11,1.2727272727272727,2.3773690866398196,exact,OK,OK
cornerCases,2,3,12,9,1.3333333333333333,2.8707267362351856,exact,OK,OK
collections,3,2,14,10,1.4,2.3418022115340396,exact,OK,OK
cornerCases,3,2,14,9,1.5555555555555556,2.3703275971474467,exact,OK,OK
reactor,4,5,780,414,1.8840579710144927,8.494318200678014,exact,OK,OK
basic,4,2,30,15,2.0,3.848408687068742,exact,OK,OK
basic,2,5,30,15,2.0,8.650419546063498,exact,OK,OK
basic,3,3,39,15,2.6,6.3839440850916835,exact,OK,OK
reactor,3,10,1110,414,2.681159420289855,14.135297607327875,exact,OK,OK
generalJava,4,2,30,11,2.727272727272727,3.854310075107601,exact,OK,OK
generalJava,2,5,30,11,2.727272727272727,8.609030952657776,exact,OK,OK
collections,4,2,30,10,3.0,3.843016535637766,exact,OK,OK
collections,2,5,30,10,3.0,8.945929830966513,exact,OK,OK
cornerCases,4,2,30,9,3.3333333333333335,3.802261044400519,exact,OK,OK
cornerCases,2,5,30,9,3.3333333333333335,7.987963936109755,exact,OK,OK
generalJava,3,3,39,11,3.5454545454545454,6.904291354738978,exact,OK,OK
collections,3,3,39,10,3.9,6.767408876886648,exact,OK,OK
cornerCases,3,3,39,9,4.333333333333333,6.577548899619249,exact,OK,OK
basic,2,10,110,15,7.333333333333333,41.1440282737295,exact,OK,OK
basic,4,3,120,15,8.0,16.069286872317534,exact,OK,OK
generalJava,2,10,110,11,10.0,41.507496904030695,exact,OK,OK
basic,3,5,155,15,10.333333333333334,30.617137761943212,exact,OK,OK
generalJava,4,3,120,11,10.909090909090908,17.070913939732588,exact,OK,OK
collections,2,10,110,10,11.0,43.790029133281735,exact,OK,OK
collections,4,3,120,10,12.0,17.122472229955477,exact,OK,OK
cornerCases,2,10,110,9,12.222222222222221,38.98245425441995,exact,OK,OK
cornerCases,4,3,120,9,13.333333333333334,15.827614278688236,exact,OK,OK
generalJava,3,5,155,11,14.090909090909092,31.498855513351984,exact,OK,OK
collections,3,5,155,10,15.5,32.44623570451298,exact,OK,OK
cornerCases,3,5,155,9,17.22222222222222,28.78263639506742,exact,OK,OK
basic,4,5,780,15,52.0,93.07510313710416,exact,OK,OK
generalJava,4,5,780,11,70.9090909090909,97.24517958068829,exact,OK,OK
basic,3,10,1110,15,74.0,180.03846172862112,exact,OK,OK
collections,4,5,780,10,78.0,99.89523953014103,exact,OK,OK
cornerCases,4,5,780,9,86.66666666666667,85.53413969837862,exact,OK,OK
generalJava,3,10,1110,11,100.9090909090909,193.24211633220142,exact,OK,OK
collections,3,10,1110,10,111.0,204.55356512680842,exact,OK,OK
cornerCases,3,10,1110,9,123.33333333333333,163.76060246506037,exact,OK,OK
basic,4,10,11110,15,740.6666666666666,300.67682021687955,exact,OK,OK
generalJava,4,10,11110,11,1010.0,355.4915616042714,exact,OK,OK
collections,4,10,11110,10,1111.0,372.1438997831602,exact,OK,OK
cornerCases,4,10,11110,9,1234.4444444444443,253.72878500677564,exact,OK,OK
